round_epochs,loss,acc,f1score,val_loss,val_acc,val_f1score,activation1,activation2,batch_size,dropout,epochs,kernel_initializer,layer1_units,layer2_units,layer3_units,layer4_units,losses,lr,optimizer,use_bias
100,0.3806015237172445,0.85013336,0.49123055,0.4126067245006561,0.8416,0.43273687,relu,sigmoid,65,0.175,100,normal,80,27,20,32,binary_crossentropy,0.15,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
115,0.2341707429587841,0.9176,0.75224113,0.4846985878944397,0.828,0.43721324,relu,sigmoid,45,0.175,115,normal,84,21,26,29,binary_crossentropy,0.5,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
105,0.2849789698421955,0.88266665,0.6557095,0.3740827509760857,0.8456,0.54162574,relu,sigmoid,55,0.0,105,normal,56,18,20,29,binary_crossentropy,0.175,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
105,0.29973616778850554,0.88373333,0.66220665,0.3821026110649109,0.844,0.5257318,relu,sigmoid,50,0.35,105,normal,76,27,23,20,binary_crossentropy,0.2,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
105,0.3620574214458466,0.8549333,0.52718264,0.3963525128364563,0.8416,0.47488457,relu,sigmoid,70,0.0,105,normal,44,18,29,29,binary_crossentropy,0.1,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
115,0.2648000417947769,0.8968,0.6887954,0.39990847891569137,0.8416,0.5085808,relu,sigmoid,45,0.0,115,normal,76,21,32,20,binary_crossentropy,0.2,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
110,0.2620499249994755,0.9024,0.71143275,0.46890209972858427,0.8232,0.53346777,relu,sigmoid,45,0.175,110,normal,48,21,20,26,binary_crossentropy,0.75,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
105,0.25487636307875317,0.8994667,0.71369654,0.43023405253887176,0.832,0.5042748,relu,sigmoid,50,0.0,105,normal,60,24,23,26,binary_crossentropy,0.5,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
115,0.28751201152801514,0.8821333,0.6513678,0.37764158499240874,0.852,0.5682642,relu,sigmoid,65,0.0,115,normal,48,27,32,29,binary_crossentropy,0.25,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
100,0.3045821236570676,0.8757333,0.6365055,0.3746613961458206,0.8536,0.5592871,relu,sigmoid,50,0.175,100,normal,60,24,26,23,binary_crossentropy,0.2,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
115,0.3089148414134979,0.872,0.62430286,0.37073765182495116,0.8472,0.53705394,relu,sigmoid,45,0.0,115,normal,48,18,23,26,binary_crossentropy,0.175,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
100,0.2952635310093562,0.87493336,0.6309176,0.3751170611381531,0.8496,0.5342691,relu,sigmoid,50,0.0,100,normal,64,27,20,26,binary_crossentropy,0.25,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
110,0.3670580571492513,0.84426665,0.503793,0.4031839168071747,0.8432,0.48433325,relu,sigmoid,70,0.0,110,normal,40,18,26,20,binary_crossentropy,0.2,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
