round_epochs,loss,acc,f1score,val_loss,val_acc,val_f1score,activation1,activation2,batch_size,dropout,epochs,kernel_initializer,layer1_units,layer2_units,layer3_units,losses,lr,optimizer,use_bias
100,0.3255122297604879,0.87413335,0.6395722,0.3605466913580894,0.8496,0.5512507,relu,sigmoid,85,0.35,100,normal,56,18,32,binary_crossentropy,0.23,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
100,0.3232037860155106,0.8728,0.6201964,0.3598144406080246,0.8536,0.5504578,relu,sigmoid,50,0.35,100,normal,44,21,32,binary_crossentropy,0.175,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
115,0.34674693648020427,0.86293334,0.587034,0.37602379286289217,0.84,0.5033769,relu,sigmoid,55,0.35,115,normal,56,18,29,binary_crossentropy,0.2,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
110,0.2887090970079104,0.88586664,0.66397494,0.3615718650817871,0.8424,0.54848635,relu,sigmoid,50,0.0,110,normal,52,18,32,binary_crossentropy,0.25,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
115,0.3233456370830536,0.87413335,0.6381006,0.3563880519866943,0.8504,0.5526037,relu,sigmoid,80,0.35,115,normal,72,15,23,binary_crossentropy,0.23,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
105,0.308849303483963,0.8736,0.63491005,0.35311374807357787,0.8528,0.55667746,relu,sigmoid,65,0.175,105,normal,40,24,29,binary_crossentropy,0.175,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
110,0.3150501905679703,0.87413335,0.6302721,0.3539679543972015,0.8496,0.54626906,relu,sigmoid,60,0.35,110,normal,52,21,29,binary_crossentropy,0.23,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
110,0.3415496052503586,0.8666667,0.5935065,0.3660246124267578,0.8472,0.52437377,relu,sigmoid,80,0.35,110,normal,56,15,29,binary_crossentropy,0.175,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
115,0.37677967993418376,0.8405333,0.47758386,0.39453803122043607,0.8368,0.40037984,relu,sigmoid,65,0.175,115,normal,64,18,29,binary_crossentropy,0.15,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
115,0.3102279499769211,0.8746667,0.6353699,0.35469966268539427,0.8536,0.50174034,relu,sigmoid,65,0.0,115,normal,76,27,32,binary_crossentropy,0.15,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
110,0.2874989280700684,0.8882667,0.67631763,0.3651144151687622,0.8464,0.5540507,relu,sigmoid,40,0.35,110,normal,64,27,32,binary_crossentropy,0.25,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
115,0.3781506851116816,0.8458667,0.51903445,0.3962521357536316,0.8408,0.4742997,relu,sigmoid,85,0.35,115,normal,40,15,26,binary_crossentropy,0.15,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
100,0.37298890233039855,0.8472,0.5226621,0.3967935287952423,0.8368,0.44261932,relu,sigmoid,50,0.175,100,normal,52,21,23,binary_crossentropy,0.15,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
110,0.30481686305999756,0.87493336,0.6391603,0.35503738474845886,0.8488,0.54246175,relu,sigmoid,60,0.175,110,normal,56,24,32,binary_crossentropy,0.175,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
100,0.32298143436511356,0.8685333,0.58826435,0.35474004805088044,0.852,0.51017547,relu,sigmoid,35,0.35,100,normal,64,24,23,binary_crossentropy,0.215,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
110,0.324422066171964,0.8717333,0.6205529,0.358431174993515,0.844,0.48570523,relu,sigmoid,65,0.35,110,normal,52,18,32,binary_crossentropy,0.23,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
105,0.29057077852884927,0.8810667,0.66153705,0.3632843729257584,0.8488,0.5407989,relu,sigmoid,70,0.0,105,normal,60,27,29,binary_crossentropy,0.2,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
115,0.2968255391120911,0.87733334,0.6389791,0.36118045115470887,0.8496,0.5335012,relu,sigmoid,60,0.0,115,normal,80,24,32,binary_crossentropy,0.23,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
105,0.2888087789416313,0.8808,0.6485249,0.36615059804916383,0.8448,0.5485207,relu,sigmoid,45,0.0,105,normal,84,18,23,binary_crossentropy,0.25,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
100,0.329958709359169,0.87013334,0.5775718,0.3741485248208046,0.8392,0.48650238,relu,sigmoid,35,0.175,100,normal,48,24,29,binary_crossentropy,0.175,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
110,0.29157835003733634,0.87813336,0.64056754,0.3595177324414253,0.8448,0.5409917,relu,sigmoid,45,0.0,110,normal,48,27,23,binary_crossentropy,0.23,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
100,0.30090858208139737,0.8736,0.6197733,0.35745459359884263,0.852,0.55712664,relu,sigmoid,55,0.0,100,normal,52,15,29,binary_crossentropy,0.23,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
100,0.3256519269943237,0.86986667,0.6051536,0.3741574683189392,0.8432,0.49691555,relu,sigmoid,40,0.0,100,normal,40,24,32,binary_crossentropy,0.175,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
115,0.30798728466033937,0.8792,0.64891505,0.35318830639123916,0.8464,0.5535718,relu,sigmoid,75,0.175,115,normal,72,15,20,binary_crossentropy,0.215,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
100,0.32443359154462814,0.87333333,0.6162307,0.35313303595781326,0.8512,0.55299646,relu,sigmoid,65,0.35,100,normal,40,18,20,binary_crossentropy,0.25,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
110,0.34762274007002514,0.8634667,0.57419544,0.36583957356214525,0.8416,0.4929665,relu,sigmoid,85,0.35,110,normal,40,21,29,binary_crossentropy,0.1,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
110,0.31479657349983853,0.87413335,0.61733973,0.3550905153751373,0.844,0.5076224,relu,sigmoid,35,0.35,110,normal,76,21,23,binary_crossentropy,0.215,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
