round_epochs,val_loss,val_acc,val_f1score,loss,acc,f1score,activation1,activation2,batch_size,dropout,epochs,kernel_initializer,layer1_units,layer2_units,losses,lr,optimizer,use_bias
120,0.39511306858062745,0.8543999791145325,0.5058754682540894,0.22758205145597457,0.90853333,0.7298648,relu,sigmoid,45,0.35,120,normal,70,35,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,False
110,0.4209232714772224,0.8432000279426575,0.5345277786254883,0.2321792465845744,0.9109333,0.7455106,relu,sigmoid,40,0.2375,110,normal,70,25,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
115,0.39692910575866697,0.8424000144004822,0.5037199854850769,0.23513065040111542,0.9109333,0.75081533,relu,sigmoid,60,0.275,115,normal,60,35,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
100,0.38390963745117185,0.8456000089645386,0.5188168287277222,0.25611900293827056,0.8994667,0.71942234,relu,sigmoid,60,0.275,100,normal,70,25,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,False
100,0.42720555305480956,0.8407999873161316,0.5313926935195923,0.2224431949853897,0.90613335,0.7409872,relu,sigmoid,60,0.3125,100,normal,80,30,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,False
100,0.38834268987178805,0.8447999954223633,0.5029128193855286,0.25412363747755684,0.8944,0.7009511,relu,sigmoid,50,0.35,100,normal,80,15,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,False
115,0.37174680137634275,0.8511999845504761,0.5206508040428162,0.27288231937090557,0.88853335,0.66871035,relu,sigmoid,55,0.2375,115,normal,60,10,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
100,0.40564135313034055,0.8503999710083008,0.5049988627433777,0.253538768529892,0.8973333,0.70970196,relu,sigmoid,60,0.2,100,normal,65,30,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,False
110,0.4231756943166256,0.8511999845504761,0.523650050163269,0.21036744236946106,0.9128,0.7462033,relu,sigmoid,55,0.2375,110,normal,70,45,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,False
130,0.5260231608152389,0.8320000171661377,0.5199288129806519,0.18343865633010864,0.928,0.8072085,relu,sigmoid,50,0.2,130,normal,75,45,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
