round_epochs,loss,acc,f1score,val_loss,val_acc,val_f1score,activation1,activation2,batch_size,dropout,epochs,kernel_initializer,layer1_units,layer2_units,layer3_units,losses,lr,optimizer,use_bias
148,0.2946039468050003,0.8829333,0.6402912,0.39481570065021515,0.84,0.53383917,relu,sigmoid,50,0.25,148,normal,66,18,23,binary_crossentropy,0.2,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
118,0.17237736454606056,0.92586666,0.77697235,0.6611094502210617,0.7936,0.47434616,relu,sigmoid,30,0.125,118,normal,38,36,26,binary_crossentropy,0.7,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
100,0.24137635084986686,0.9077333,0.71311414,0.4679045834541321,0.8032,0.52213955,relu,sigmoid,55,0.0,100,normal,74,30,29,binary_crossentropy,0.3,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
130,0.21181709897518158,0.9213333,0.7698175,0.5545915865898132,0.8016,0.48867399,relu,sigmoid,60,0.0,130,normal,58,15,23,binary_crossentropy,0.35,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
112,0.3159993453025818,0.88,0.6112978,0.39863920521736146,0.8368,0.52109826,relu,sigmoid,40,0.5,112,normal,30,15,29,binary_crossentropy,0.2,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
142,0.19093269532422225,0.92773336,0.77959424,0.5238632605075836,0.8168,0.48482132,relu,sigmoid,55,0.25,142,normal,66,39,35,binary_crossentropy,0.3,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
142,0.26625318119923275,0.89493334,0.68484306,0.43761457324028014,0.8272,0.49717534,relu,sigmoid,50,0.0,142,normal,38,27,20,binary_crossentropy,0.5,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
100,0.20812864832580089,0.92186666,0.7485387,0.5157569028139114,0.8224,0.51305276,relu,sigmoid,35,0.25,100,normal,50,39,26,binary_crossentropy,0.5,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
142,0.2628977283239365,0.8992,0.6962693,0.42599203419685366,0.8144,0.516013,relu,sigmoid,60,0.125,142,normal,30,27,38,binary_crossentropy,0.55,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
148,0.15668802547454835,0.9464,0.8452002,0.6813268051147461,0.8008,0.479245,relu,sigmoid,60,0.375,148,normal,42,36,38,binary_crossentropy,0.55,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
118,0.2721704085469246,0.8965333,0.6568999,0.40473827135562895,0.8312,0.49555343,relu,sigmoid,30,0.375,118,normal,74,24,32,binary_crossentropy,0.2,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
130,0.3737547435561816,0.8504,0.4899248,0.4591293511390686,0.8072,0.3678727,relu,sigmoid,65,0.0,130,normal,30,30,23,binary_crossentropy,0.2,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
136,0.23917989318569502,0.90346664,0.6948148,0.44414235204458236,0.8264,0.50850236,relu,sigmoid,35,0.125,136,normal,58,21,35,binary_crossentropy,0.3,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
148,0.2320894425213337,0.9117333,0.74161977,0.458325807094574,0.8272,0.51932204,relu,sigmoid,45,0.125,148,normal,46,33,20,binary_crossentropy,0.55,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
142,0.26774168358246486,0.88853335,0.6617995,0.42687870693206786,0.8232,0.50576437,relu,sigmoid,65,0.0,142,normal,30,39,29,binary_crossentropy,0.3,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
148,0.33303899641831713,0.87306666,0.5902828,0.44429974734783173,0.824,0.4243494,relu,sigmoid,55,0.125,148,normal,30,36,29,binary_crossentropy,0.3,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
112,0.2928022966484229,0.88853335,0.6372079,0.40451256942749025,0.8312,0.47836173,relu,sigmoid,35,0.375,112,normal,30,36,20,binary_crossentropy,0.5,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
100,0.19885757327079773,0.92186666,0.743546,0.5212282190322876,0.8272,0.45512044,relu,sigmoid,30,0.25,100,normal,34,27,38,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
106,0.2922508565584819,0.8821333,0.63699776,0.4038305854797363,0.8368,0.4952422,relu,sigmoid,50,0.0,106,normal,34,21,29,binary_crossentropy,0.35,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
130,0.2916618716716766,0.8848,0.632106,0.4029896340370178,0.8312,0.47081497,relu,sigmoid,30,0.0,130,normal,54,15,29,binary_crossentropy,0.2,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
142,0.23202213579416275,0.9173333,0.73370355,0.4705371905267239,0.8184,0.4792977,relu,sigmoid,35,0.5,142,normal,42,24,29,binary_crossentropy,0.4,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
124,0.2835625286102295,0.8922667,0.6588575,0.41789029479026796,0.8312,0.52620643,relu,sigmoid,60,0.25,124,normal,54,24,20,binary_crossentropy,0.3,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
124,0.2345871463418007,0.9112,0.7423608,0.45448665142059325,0.8344,0.54260254,relu,sigmoid,60,0.25,124,normal,50,15,20,binary_crossentropy,0.55,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
130,0.23685167451699574,0.9069333,0.7133757,0.4617572641372681,0.8144,0.4831745,relu,sigmoid,50,0.125,130,normal,38,39,26,binary_crossentropy,0.4,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
148,0.12765670061856507,0.9493333,0.85502654,0.828899796128273,0.804,0.4977366,relu,sigmoid,45,0.125,148,normal,70,30,32,binary_crossentropy,0.5,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
130,0.27721337823073067,0.8952,0.68722343,0.43384561789035797,0.8256,0.5133521,relu,sigmoid,65,0.5,130,normal,42,24,38,binary_crossentropy,0.7,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
118,0.22404241895675658,0.91866666,0.7689832,0.4997896381616592,0.8176,0.5044893,relu,sigmoid,55,0.25,118,normal,58,33,35,binary_crossentropy,0.7,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
130,0.22653986984988053,0.9104,0.7124967,0.45661899918317794,0.8128,0.4769914,relu,sigmoid,35,0.0,130,normal,66,36,32,binary_crossentropy,0.3,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
130,0.24918922540545463,0.9064,0.70161396,0.44653161376714706,0.8272,0.53589624,relu,sigmoid,45,0.0,130,normal,58,39,35,binary_crossentropy,0.55,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
106,0.28488891514142356,0.88773334,0.65238035,0.40499913942813875,0.824,0.51934785,relu,sigmoid,65,0.25,106,normal,54,21,32,binary_crossentropy,0.55,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
100,0.30231051741043724,0.88666666,0.64598113,0.4042788779139519,0.8288,0.50412124,relu,sigmoid,55,0.375,100,normal,34,39,20,binary_crossentropy,0.4,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
130,0.2419718129436175,0.916,0.7430291,0.4402628844976425,0.824,0.5064433,relu,sigmoid,50,0.25,130,normal,42,33,29,binary_crossentropy,0.35,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
118,0.28153176834185917,0.88453335,0.6283958,0.41127742433547976,0.8216,0.52572346,relu,sigmoid,35,0.0,118,normal,54,21,29,binary_crossentropy,0.4,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
112,0.2875780629316966,0.8976,0.6744566,0.41570022201538087,0.8248,0.49747851,relu,sigmoid,40,0.5,112,normal,62,36,20,binary_crossentropy,0.35,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
118,0.28300182541211444,0.8890667,0.6624421,0.39876571464538574,0.836,0.56157553,relu,sigmoid,40,0.125,118,normal,62,18,26,binary_crossentropy,0.35,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
148,0.29433316895365713,0.88,0.6185876,0.3950331979393959,0.8368,0.52275485,relu,sigmoid,45,0.0,148,normal,30,27,38,binary_crossentropy,0.2,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
106,0.26823908716440203,0.8946667,0.66435087,0.42704604840278626,0.8264,0.47544914,relu,sigmoid,45,0.0,106,normal,34,39,32,binary_crossentropy,0.7,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
118,0.2838151624798775,0.8954667,0.6575884,0.40091722309589384,0.8272,0.5018222,relu,sigmoid,30,0.25,118,normal,46,18,20,binary_crossentropy,0.4,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
124,0.22240402781963348,0.91893333,0.76670843,0.4747099487781525,0.8248,0.5355946,relu,sigmoid,60,0.25,124,normal,70,33,29,binary_crossentropy,0.55,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
112,0.22295892468094825,0.9112,0.72399265,0.4460775945186615,0.824,0.53434527,relu,sigmoid,45,0.0,112,normal,74,30,20,binary_crossentropy,0.4,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
130,0.2574969641963641,0.90506667,0.71385133,0.42339725816249846,0.8296,0.5269167,relu,sigmoid,65,0.375,130,normal,62,18,35,binary_crossentropy,0.2,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
142,0.24915642666816712,0.9109333,0.7326432,0.45984586787223813,0.8232,0.47470766,relu,sigmoid,60,0.375,142,normal,38,33,20,binary_crossentropy,0.4,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
142,0.21224290046095848,0.9176,0.745064,0.4835572918653488,0.8192,0.526976,relu,sigmoid,30,0.0,142,normal,66,39,38,binary_crossentropy,0.4,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
100,0.28077445697784426,0.8944,0.67474866,0.4195812177658081,0.8272,0.49956372,relu,sigmoid,60,0.25,100,normal,34,21,29,binary_crossentropy,0.5,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
130,0.2089690732161204,0.9168,0.72865236,0.5106928155422211,0.8144,0.47146502,relu,sigmoid,55,0.5,130,normal,66,27,23,binary_crossentropy,0.5,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
118,0.2706108330686887,0.90506667,0.7121218,0.4285310971736908,0.8312,0.5409939,relu,sigmoid,50,0.5,118,normal,42,18,26,binary_crossentropy,0.7,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
130,0.13098945969343184,0.9432,0.8321076,0.7587515678405762,0.8176,0.5483077,relu,sigmoid,60,0.375,130,normal,74,33,35,binary_crossentropy,0.55,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
118,0.27057920638720195,0.9005333,0.7028448,0.4133404203653336,0.8216,0.5180948,relu,sigmoid,55,0.5,118,normal,54,27,26,binary_crossentropy,0.5,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
106,0.2606154070198536,0.89386666,0.6783351,0.4194530235528946,0.8304,0.52514416,relu,sigmoid,45,0.0,106,normal,54,39,23,binary_crossentropy,0.35,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
136,0.3732050581773122,0.85973334,0.53269404,0.4556272059679031,0.808,0.38098273,relu,sigmoid,65,0.375,136,normal,38,27,20,binary_crossentropy,0.3,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
112,0.3002161775032679,0.8797333,0.6253765,0.38791355240345,0.84,0.5367948,relu,sigmoid,65,0.5,112,normal,34,27,35,binary_crossentropy,0.4,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
124,0.23969280606508256,0.90746665,0.7229362,0.4549495667815208,0.8096,0.4762229,relu,sigmoid,45,0.125,124,normal,46,39,29,binary_crossentropy,0.55,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
142,0.2199057285984357,0.916,0.75538903,0.48023725509643556,0.8072,0.5111185,relu,sigmoid,50,0.125,142,normal,66,24,35,binary_crossentropy,0.55,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
106,0.29593013010422387,0.88026667,0.633285,0.40142087304592133,0.8328,0.5275509,relu,sigmoid,55,0.125,106,normal,38,21,29,binary_crossentropy,0.55,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
118,0.23527352321147918,0.9128,0.73275894,0.4596536741256714,0.8136,0.4916366,relu,sigmoid,60,0.375,118,normal,54,36,32,binary_crossentropy,0.3,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
124,0.2825426166057587,0.89093333,0.66350704,0.40136271905899046,0.8304,0.50641674,relu,sigmoid,60,0.5,124,normal,54,24,32,binary_crossentropy,0.2,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
136,0.2563092635671298,0.9018667,0.69730604,0.4726718245148659,0.824,0.48115867,relu,sigmoid,35,0.125,136,normal,46,15,26,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
142,0.26171535333991053,0.8997333,0.6959752,0.414859413087368,0.828,0.5099062,relu,sigmoid,45,0.125,142,normal,46,15,32,binary_crossentropy,0.55,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
142,0.14286185449361802,0.9424,0.8423767,0.7840163134932518,0.808,0.49315676,relu,sigmoid,45,0.25,142,normal,54,39,26,binary_crossentropy,0.55,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
148,0.18390486949682236,0.9288,0.771774,0.5819226059913635,0.8056,0.4788037,relu,sigmoid,45,0.25,148,normal,46,39,35,binary_crossentropy,0.4,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
130,0.17274340797960758,0.9242667,0.78508174,0.6561807066202163,0.8136,0.48938307,relu,sigmoid,45,0.0,130,normal,50,36,26,binary_crossentropy,0.7,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
130,0.2599066092967987,0.8968,0.6715349,0.429242893576622,0.8224,0.4582016,relu,sigmoid,30,0.125,130,normal,38,33,38,binary_crossentropy,0.4,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
124,0.28649943272272743,0.8872,0.64411664,0.3970928645133972,0.832,0.5059682,relu,sigmoid,40,0.375,124,normal,30,15,20,binary_crossentropy,0.4,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
