round_epochs,val_loss,val_acc,val_f1score,loss,acc,f1score,activation1,activation2,batch_size,dropout,epochs,kernel_initializer,layer1_units,layer2_units,layer3_units,losses,lr,optimizer,use_bias
118,0.32868526864051817,0.8736000061035156,0.5826574563980103,0.3214442945718765,0.8642667,0.6012977,elu,sigmoid,45,0.08,118,uniform,74,20,38,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,False
124,0.32657151281833646,0.8727999925613403,0.5954468250274658,0.32404017994801204,0.86906666,0.624782,elu,sigmoid,50,0.32,124,normal,38,20,38,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,False
100,0.3246531791090965,0.8712000250816345,0.5840008854866028,0.31255399954319,0.87093335,0.61536705,elu,sigmoid,45,0.24,100,uniform,29,56,20,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
112,0.41504909467697143,0.8471999764442444,0.5483221411705017,0.23510534891486168,0.90346664,0.726599,relu,sigmoid,45,0.0,112,normal,65,56,20,binary_crossentropy,0.5,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
124,0.32638253849744797,0.8664000034332275,0.5785356163978577,0.33108175241947174,0.86373335,0.59612805,elu,sigmoid,55,0.32,124,normal,38,20,20,binary_crossentropy,0.5,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
142,0.3321701261997223,0.8664000034332275,0.5822203755378723,0.3098464999198914,0.87093335,0.61723816,elu,sigmoid,45,0.0,142,uniform,92,20,38,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,False
130,0.3410179789066315,0.8623999953269958,0.5582332611083984,0.3017531222105026,0.8746667,0.6334365,elu,sigmoid,30,0.24,130,normal,74,20,29,binary_crossentropy,0.5,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,False
112,0.3254843153953552,0.8736000061035156,0.5692917704582214,0.3198974890708923,0.8656,0.6029574,elu,sigmoid,40,0.0,112,uniform,38,56,29,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
148,0.32492472875118256,0.8695999979972839,0.5801488161087036,0.3195264232158661,0.86586666,0.60100496,elu,sigmoid,30,0.32,148,uniform,29,56,38,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,False
106,0.32311973905563357,0.8751999735832214,0.5979127287864685,0.3262782063484192,0.8624,0.5908332,elu,sigmoid,60,0.08,106,uniform,29,47,29,binary_crossentropy,0.5,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,False
142,0.4635973792672157,0.8503999710083008,0.5441969633102417,0.2022128310352564,0.92506665,0.7949996,relu,sigmoid,45,0.24,142,normal,83,47,20,binary_crossentropy,0.5,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,False
118,0.4311718481779099,0.8543999791145325,0.5285584926605225,0.24074015259742737,0.9026667,0.73081154,relu,sigmoid,50,0.16,118,uniform,56,56,29,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
118,1.036103132635355,0.8176000118255615,0.5337887406349182,0.11575385784357786,0.9461333,0.84323007,relu,sigmoid,30,0.24,118,uniform,74,38,20,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,False
136,0.4234659254848957,0.8464000225067139,0.5425145030021667,0.2352620083093643,0.908,0.7396852,relu,sigmoid,35,0.0,136,normal,56,20,38,binary_crossentropy,0.5,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,False
100,0.32911522871255877,0.8751999735832214,0.5870927572250366,0.33714342015981674,0.86053336,0.58781743,elu,sigmoid,55,0.08,100,uniform,20,29,20,binary_crossentropy,0.5,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,False
106,0.32564614832401273,0.8712000250816345,0.5810381770133972,0.3285244470834732,0.86053336,0.583218,elu,sigmoid,50,0.32,106,normal,65,38,38,binary_crossentropy,0.5,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,False
136,0.34855887639522554,0.8592000007629395,0.5598944425582886,0.29861091905832293,0.8752,0.62652034,elu,sigmoid,30,0.08,136,uniform,83,38,20,binary_crossentropy,0.5,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
100,0.4244306457042694,0.843999981880188,0.5343191027641296,0.235319713751475,0.9136,0.75462526,relu,sigmoid,50,0.16,100,normal,92,20,38,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,False
112,0.597266610622406,0.8327999711036682,0.5352890491485596,0.15117254329721133,0.9344,0.8193985,relu,sigmoid,40,0.08,112,normal,56,56,38,binary_crossentropy,0.5,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
112,0.37807058575749397,0.8615999817848206,0.5879429578781128,0.26176282413800556,0.8952,0.68720204,relu,sigmoid,55,0.08,112,normal,20,38,38,binary_crossentropy,0.5,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,False
118,0.38998114740848544,0.853600025177002,0.5407074689865112,0.2651218634843826,0.89093333,0.68784237,relu,sigmoid,30,0.0,118,normal,38,20,38,binary_crossentropy,0.5,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,False
136,0.32813962054252627,0.871999979019165,0.5775758028030396,0.3172920016646385,0.86693335,0.604991,elu,sigmoid,30,0.4,136,uniform,65,20,20,binary_crossentropy,0.5,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,False
136,0.37541119575500487,0.8679999709129333,0.5486530661582947,0.2876691347360611,0.88853335,0.69099516,relu,sigmoid,50,0.24,136,uniform,56,20,20,binary_crossentropy,0.5,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
118,0.44518664163351057,0.848800003528595,0.5410218834877014,0.231388429582119,0.9058667,0.730389,elu,sigmoid,30,0.16,118,normal,83,29,20,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,False
136,0.4400774775147438,0.8456000089645386,0.516861617565155,0.2584464942415555,0.8933333,0.6749917,relu,sigmoid,35,0.4,136,normal,38,29,29,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
112,0.32815561670064924,0.8744000196456909,0.5758994817733765,0.31753787177801135,0.86693335,0.6319918,elu,sigmoid,55,0.16,112,normal,74,20,20,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
100,0.4184740613102913,0.8640000224113464,0.5273010730743408,0.2462030427455902,0.9056,0.7282548,relu,sigmoid,35,0.0,100,uniform,92,20,20,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
106,0.32380844324827196,0.8759999871253967,0.599875271320343,0.32827005380392077,0.8613333,0.58027434,elu,sigmoid,65,0.16,106,uniform,74,47,20,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
142,0.3383612189292908,0.864799976348877,0.5743417143821716,0.30954034833113353,0.87493336,0.61664224,elu,sigmoid,55,0.4,142,uniform,38,47,29,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,False
124,0.4065184104442596,0.8343999981880188,0.5597783327102661,0.27617987821499507,0.8968,0.71099615,relu,sigmoid,55,0.32,124,uniform,65,20,20,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
148,0.3273179480433464,0.8704000115394592,0.575290858745575,0.32249942284822464,0.86373335,0.5982722,elu,sigmoid,45,0.4,148,normal,20,47,29,binary_crossentropy,0.5,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
112,0.3573586110472679,0.8664000034332275,0.553049623966217,0.2697732165157795,0.8832,0.6692175,elu,sigmoid,45,0.16,112,uniform,92,47,38,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
112,0.3904982596039772,0.8592000007629395,0.5515933036804199,0.2603741820951303,0.8984,0.68415564,relu,sigmoid,35,0.24,112,uniform,74,20,20,binary_crossentropy,0.5,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
112,0.3311202686429024,0.8736000061035156,0.5981443524360657,0.3270787900686264,0.8613333,0.57137537,elu,sigmoid,45,0.0,112,uniform,92,29,38,binary_crossentropy,0.5,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,False
100,0.3308004443049431,0.8640000224113464,0.550589382648468,0.3116958997100592,0.8696,0.601108,elu,sigmoid,35,0.0,100,normal,83,29,29,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
136,0.7115458149909973,0.8256000280380249,0.5256854891777039,0.16415421080589293,0.93626666,0.82270986,relu,sigmoid,60,0.4,136,normal,92,20,38,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,False
106,0.32683744049072266,0.8687999844551086,0.5783593654632568,0.32480294167995455,0.8584,0.58891696,elu,sigmoid,60,0.24,106,normal,83,29,38,binary_crossentropy,0.5,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,False
130,0.3268064330816269,0.8784000277519226,0.5983623266220093,0.33469980422655743,0.85866666,0.5861739,elu,sigmoid,65,0.32,130,uniform,65,56,38,binary_crossentropy,0.5,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
106,0.3262268754839897,0.8695999979972839,0.5668400526046753,0.328335098028183,0.85973334,0.59087884,elu,sigmoid,45,0.08,106,normal,56,20,20,binary_crossentropy,0.5,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,False
106,0.41290510231256483,0.853600025177002,0.5391900539398193,0.25953529826800026,0.8901333,0.69954926,relu,sigmoid,55,0.4,106,normal,20,47,38,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,False
106,0.8871130191683769,0.8399999737739563,0.49249327182769775,0.10359878638883432,0.9392,0.8216811,relu,sigmoid,35,0.24,106,normal,92,56,38,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,False
148,0.32914571261405945,0.8664000034332275,0.5781244039535522,0.3219219837188721,0.8688,0.60728896,elu,sigmoid,40,0.08,148,uniform,29,20,38,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
118,0.33027584409713745,0.8727999925613403,0.5721623301506042,0.3204621257185936,0.864,0.58207446,elu,sigmoid,35,0.24,118,uniform,74,56,20,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,False
100,0.6368811330795288,0.8104000091552734,0.5266629457473755,0.1602418367266655,0.93626666,0.8330672,relu,sigmoid,60,0.24,100,normal,65,20,38,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,False
142,0.33316288608312605,0.8655999898910522,0.5786978602409363,0.3324963410496712,0.8552,0.5829152,elu,sigmoid,45,0.4,142,uniform,65,20,38,binary_crossentropy,0.5,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,False
136,0.6863992145061493,0.8303999900817871,0.5423340201377869,0.14215376498550178,0.93946666,0.8283103,relu,sigmoid,45,0.16,136,normal,65,38,38,binary_crossentropy,0.5,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,False
100,0.40842666959762575,0.8447999954223633,0.5564722418785095,0.25825354846318566,0.8954667,0.70077914,relu,sigmoid,40,0.08,100,normal,38,56,20,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
112,0.42165264201164243,0.8519999980926514,0.5689783096313477,0.25374989533424375,0.9,0.71235675,relu,sigmoid,40,0.08,112,uniform,29,56,29,binary_crossentropy,0.5,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,False
142,0.33767461439967156,0.8727999925613403,0.585574209690094,0.3095113306045532,0.88,0.6420563,relu,sigmoid,55,0.4,142,uniform,29,29,38,binary_crossentropy,0.5,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,False
112,0.3262106744647026,0.8704000115394592,0.570260763168335,0.33181601881980893,0.85866666,0.5869606,elu,sigmoid,45,0.24,112,uniform,56,20,29,binary_crossentropy,0.5,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
148,0.3439114761352539,0.8623999953269958,0.5736620426177979,0.30740660468737285,0.86693335,0.6027351,elu,sigmoid,50,0.08,148,uniform,74,47,29,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
112,0.3402960485219955,0.864799976348877,0.5931620001792908,0.30882178495327633,0.8693333,0.6227679,elu,sigmoid,50,0.0,112,uniform,38,56,38,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
106,0.39338412129878997,0.843999981880188,0.46132391691207886,0.3860193029443423,0.8472,0.51001954,relu,sigmoid,55,0.32,106,uniform,29,56,20,binary_crossentropy,0.5,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
100,0.4096106314063072,0.8592000007629395,0.5502293109893799,0.25159609308838843,0.89306664,0.68808216,relu,sigmoid,55,0.16,100,normal,20,47,20,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,False
130,0.5920733716487885,0.8199999928474426,0.5172119140625,0.1773122123479843,0.9312,0.8207653,relu,sigmoid,65,0.24,130,normal,56,56,20,binary_crossentropy,0.5,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
